Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.990336069,-87.713085958,0,BATTERY,4,0,1,6
41.912368507,-87.711758253,0,THEFT,1,0,1,3
41.921000188,-87.636425726,0,THEFT,0,0,2,3
41.689952877,-87.636259781,0,ROBBERY,6,0,5,7
41.771531518,-87.70296528,0,THEFT,7,0,0,3
41.746846948,-87.585870025,1,WEAPONS VIOLATION,5,0,7,5
41.760451759,-87.664914689,0,THEFT,6,0,0,3
41.673447184,-87.633344932,0,DECEPTIVE PRACTICE,6,0,5,3
41.905521317,-87.68587472,0,THEFT,1,0,2,3
41.774406263,-87.63578967,0,CRIMINAL DAMAGE,2,0,0,3
41.708237949,-87.645302245,0,THEFT,6,0,5,3
41.735223542,-87.643589082,0,THEFT,6,0,5,3
41.737327955,-87.717919024,0,MOTOR VEHICLE THEFT,7,0,0,5
41.815417691,-87.702876282,0,MOTOR VEHICLE THEFT,7,0,0,5
41.883500187,-87.627876698,1,THEFT,0,0,6,3
41.876349533,-87.667075491,0,ROBBERY,0,0,6,7
41.909265128,-87.690880967,0,DECEPTIVE PRACTICE,1,0,2,3
41.781531354,-87.594666478,0,CRIMINAL DAMAGE,2,0,7,3
41.771623104,-87.706161048,0,BATTERY,7,0,0,6
41.868029452,-87.754765237,0,BURGLARY,1,0,1,5
41.935854166,-87.649120179,0,BURGLARY,4,0,2,5
41.854564542,-87.712421035,0,ASSAULT,1,0,1,6
42.012271365,-87.689344972,0,CRIMINAL DAMAGE,4,0,2,3
41.844580682,-87.701808336,0,ROBBERY,1,0,1,7
41.947252263,-87.65350869,0,CRIMINAL SEXUAL ASSAULT,4,0,2,8
41.965528071,-87.656189835,0,BATTERY,4,0,2,6
41.953718654,-87.649984242,0,BATTERY,4,0,2,6
41.874497044,-87.714126453,0,MOTOR VEHICLE THEFT,1,0,1,5
41.831101673,-87.617716013,0,ROBBERY,2,0,3,7
41.887712308,-87.656090432,1,CRIMINAL TRESPASS,0,0,6,3
41.707379152,-87.609589909,0,BATTERY,6,0,5,6
41.802132606,-87.613677631,0,CRIMINAL DAMAGE,2,0,3,3
41.810806172,-87.607832602,0,CRIMINAL DAMAGE,2,0,3,3
41.748885287,-87.699929043,0,BURGLARY,7,0,0,5
41.81477957,-87.690729267,0,THEFT,7,0,0,3
41.811870569,-87.613880434,0,MOTOR VEHICLE THEFT,2,0,3,5
41.759442511,-87.629636606,0,ASSAULT,2,0,3,6
41.770838649,-87.591112323,0,BATTERY,5,0,7,6
41.888525948,-87.644322264,0,ROBBERY,0,0,6,7
41.882184727,-87.768632376,0,THEFT,3,0,1,3
41.941185738,-87.640807804,1,OTHER OFFENSE,0,0,2,2
41.853836827,-87.625519566,0,MOTOR VEHICLE THEFT,0,0,3,5
41.907156625,-87.66759285,1,CRIMINAL DAMAGE,0,0,2,3
41.797656084,-87.666321575,0,ARSON,7,0,0,7
41.833669032,-87.620600943,0,OTHER OFFENSE,2,0,3,2
41.88946287,-87.624222942,0,BATTERY,0,0,6,6
41.880960239,-87.707131052,0,DECEPTIVE PRACTICE,1,0,1,3
41.799429695,-87.733139401,0,THEFT,7,0,0,3
41.966760254,-87.692039192,0,DECEPTIVE PRACTICE,4,0,2,3
41.891126489,-87.652899501,0,CRIMINAL DAMAGE,0,0,6,3
42.021178873,-87.672429228,0,BURGLARY,4,0,2,5
41.750614996,-87.591818087,0,MOTOR VEHICLE THEFT,5,0,3,5
41.687299551,-87.655604403,0,WEAPONS VIOLATION,6,0,5,5
